refran;Categoría;categoria2
 Cuando truena en abril, el labrador es feliz;Meses del año;Abril
 Abril llovedero, llena graneros;Meses del año;Abril
 El invierno no ha pasado hasta que abril no haya acabado;Meses del año;Abril
 Abril concluido, invierno ido;Meses del año;Abril
 En abril y en mayo no dejes en la casa el sayo;Meses del año;Abril
 Hasta que no pase abril, no aligeres el vestir;Meses del año;Abril
 El que no guarda la leña para abril no sabe vivir;Meses del año;Abril
 Abril sonriente, de frío mata a la gente;Meses del año;Abril
 Abril sin granizar, ni se vio ni se verá;Meses del año;Abril
 Abril puede traer rocío, y otras veces helada y frío;Meses del año;Abril
 ¡Ojo con abril!, que es helador y sutil;Meses del año;Abril
 A abril, desearle por lluvioso y temerle por vil;Meses del año;Abril
 Abril, siempre fue vil;Meses del año;Abril
 Abril siempre vil, al principio, al medio y al fin;Meses del año;Abril
 Abril, uno bueno entre mil;Meses del año;Abril
 Abriles y jornaleros, pocos son buenos;Meses del año;Abril
 De abril y de la mujer todo lo malo es de temer;Meses del año;Abril
 Buenos amigos y buenos abriles, uno entre miles;Meses del año;Abril
 Un abril del todo bueno, los antepasados no lo conocieron;Meses del año;Abril
 Abril frío y mojado, hincha el granero y harta el ganado;Meses del año;Abril
 En abril, cortas un cardo y te crecen mil;Meses del año;Abril
 Abril lluvioso hace a mayo hermoso;Meses del año;Abril
 La niebla en marzo no hace daño, pero la de abril se lleva el pan, el vino y el barril;Meses del año;Abril
 Marzo ventoso y abril lluvioso hacen de mayo florido y hermoso;Meses del año;Abril
 Si tienes pan para mayo y leña para abril, échate a dormir;Meses del año;Abril
 El que en abril riega, en mayo siega;Meses del año;Abril
 Si marzo no marcea, abril ventisquea;Meses del año;Abril
 En abril, búscale el nido a la perdiz;Meses del año;Abril
 Las mañanas de abril son largas para dormir. ;Meses del año;Abril
 Al fin de abril, la flor de la vid;Meses del año;Abril
 Tu perejil siémbralo en abril;Meses del año;Abril
 Abril que sale lloviendo, a mayo llama riendo;Meses del año;Abril
 Si truena en abril, prepara la capa y échate a dormir;Meses del año;Abril
 Abre abril las puertas del Santo Rocío y no abras las del frío;Meses del año;Abril
 Abril, abrilillo, siempre fuiste pillo. Mayo;Meses del año;Abril
 Primer día de mayo, corre el lobo y el verano;Meses del año;Mayo
 Si mayo es reglado, ni frío ni achicharrado;Meses del año;Mayo
 Ya viene mayo por esas cañadas, espigando los trigos y granando cebadas;Meses del año;Mayo
 Mayo hace el trigo y agosto hace el vino;Meses del año;Mayo
 En abril y en mayo no dejes en la casa el sayo;Meses del año;Mayo
 Hasta el cuarenta de mayo, no te quites el sayo;Meses del año;Mayo
 En mayo no dejes el sayo, por si en vez de derecho viene de soslayo;Meses del año;Mayo
 Cuando mayo va a mediar, debe el invierno acabar;Meses del año;Mayo
 De tus leños mil, guarda cien para abril, y por si acaso guarda algunos para mayo;Meses del año;Mayo
 Febrero revuelto, marzo ventoso y abril lluvioso, sacan a mayo florido y hermoso;Meses del año;Mayo
 Marzo ventoso y abril lluvioso, sacan a mayo florido y hermoso;Meses del año;Mayo
 Mayo florido, en flor el olivo y granados los trigos;Meses del año;Mayo
 Mayo entrado, un jardín en cada prado;Meses del año;Mayo
 A abril con sus chaparrones, sigue mayo con sus flores;Meses del año;Mayo
 Aparte de otras cosas, en abril las lilas y en mayo las rosas;Meses del año;Mayo
 Agua de mayo, pan para todo el año;Meses del año;Mayo
 Con el agua de mayo crece el tallo;Meses del año;Mayo
 Mayo caliente y lluvioso, ofrece bienes copiosos;Meses del año;Mayo
 Lodos en mayo, en agosto, espigas y grano;Meses del año;Mayo
